Frame	Phase
0	Preparation
1	Preparation
2	Preparation
3	Preparation
4	Preparation
5	Preparation
6	Preparation
7	Preparation
8	Preparation
9	Preparation
10	CalotTriangleDissection
11	CalotTriangleDissection
12	CalotTriangleDissection
13	CalotTriangleDissection
14	CalotTriangleDissection
15	CalotTriangleDissection
16	CalotTriangleDissection
17	CalotTriangleDissection
18	CalotTriangleDissection
19	CalotTriangleDissection
20	CalotTriangleDissection
21	CalotTriangleDissection
22	CalotTriangleDissection
23	CalotTriangleDissection
24	CalotTriangleDissection
25	CalotTriangleDissection
